Subj_id,Session_id,Spout_onset,Spout_offset
SUBJ-ID-154,MML-Aversive-AM-210512-154912,3.427151e+02,3.427467e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,3.427547e+02,3.427609e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,3.427636e+02,3.427709e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,3.429230e+02,3.430959e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,3.431461e+02,3.431958e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,3.432062e+02,3.478569e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,3.565521e+02,3.565981e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,3.566580e+02,3.612051e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,3.712258e+02,3.757890e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,3.769150e+02,3.810565e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,3.821792e+02,3.897416e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,3.914690e+02,3.957744e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,3.961648e+02,3.970428e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,3.985610e+02,3.985663e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,3.985722e+02,4.031931e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.032175e+02,4.032281e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.036925e+02,4.135914e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.145860e+02,4.201617e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.213618e+02,4.268250e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.281261e+02,4.317526e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.328508e+02,4.347786e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.356343e+02,4.441428e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.443514e+02,4.445362e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.449526e+02,4.471183e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.471213e+02,4.471265e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.485271e+02,4.525912e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.550200e+02,4.602521e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.602793e+02,4.602911e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.611564e+02,4.657995e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.682302e+02,4.746265e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.751496e+02,4.805342e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.817346e+02,4.862686e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.876961e+02,4.889584e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.900457e+02,4.943109e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.945003e+02,4.948400e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,4.951044e+02,5.008184e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.100614e+02,5.160025e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.166329e+02,5.183332e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.199931e+02,5.300478e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.309275e+02,5.350867e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.358778e+02,5.359393e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.359572e+02,5.400885e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.402279e+02,5.402353e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.402500e+02,5.402541e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.402631e+02,5.405611e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.408997e+02,5.409060e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.410529e+02,5.439147e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.439181e+02,5.439251e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.444510e+02,5.478124e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.483901e+02,5.523389e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.525166e+02,5.525316e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.529870e+02,5.561605e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.572742e+02,5.610060e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.615870e+02,5.639099e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.651555e+02,5.707879e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.708857e+02,5.710934e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.712546e+02,5.713206e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.715980e+02,5.767819e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.767858e+02,5.767912e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.779807e+02,5.846183e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.853925e+02,5.905629e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.918371e+02,5.972893e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,5.979041e+02,5.989715e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.005558e+02,6.052639e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.091068e+02,6.145494e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.161672e+02,6.161736e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.162044e+02,6.205877e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.215302e+02,6.268974e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.285321e+02,6.323694e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.329045e+02,6.341713e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.341953e+02,6.341992e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.356911e+02,6.425231e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.437913e+02,6.503817e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.503843e+02,6.503909e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.510498e+02,6.576794e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.583278e+02,6.605380e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.620631e+02,6.675073e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.686740e+02,6.728738e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.733827e+02,6.745675e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.746002e+02,6.746247e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.873350e+02,6.899432e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.901758e+02,6.903089e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,6.917003e+02,7.007689e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,7.053708e+02,7.053805e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,7.054842e+02,7.096674e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,7.122325e+02,7.165014e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,7.242793e+02,7.243284e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,7.243460e+02,7.309544e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,7.400679e+02,7.401157e+02
SUBJ-ID-154,MML-Aversive-AM-210512-154912,7.401629e+02,7.600774e+02
