Unit,ActiveBaseline_modulation_direction,PTP_class
SUBJ-ID-154_210506_concat_cluster1199,increase,broad
SUBJ-ID-154_210506_concat_cluster1207,decrease,broad
SUBJ-ID-154_210506_concat_cluster1208,increase,broad
SUBJ-ID-154_210506_concat_cluster1225,decrease,broad
SUBJ-ID-154_210506_concat_cluster1231,decrease,broad
SUBJ-ID-154_210506_concat_cluster1232,none,broad
SUBJ-ID-154_210506_concat_cluster1264,decrease,broad
SUBJ-ID-154_210506_concat_cluster1314,decrease,broad
SUBJ-ID-154_210506_concat_cluster1345,none,broad
SUBJ-ID-154_210506_concat_cluster1378,none,broad
SUBJ-ID-154_210506_concat_cluster1382,none,broad
SUBJ-ID-154_210506_concat_cluster1385,decrease,broad
SUBJ-ID-154_210506_concat_cluster1392,none,broad
SUBJ-ID-154_210506_concat_cluster1625,decrease,broad
SUBJ-ID-154_210506_concat_cluster1635,decrease,narrow
SUBJ-ID-154_210506_concat_cluster1636,none,broad
SUBJ-ID-154_210506_concat_cluster1646,decrease,broad
SUBJ-ID-154_210506_concat_cluster1647,none,broad
SUBJ-ID-154_210506_concat_cluster696,decrease,broad
SUBJ-ID-154_210506_concat_cluster703,none,broad
SUBJ-ID-154_210507_concat_cluster1030,decrease,broad
SUBJ-ID-154_210507_concat_cluster1034,increase,broad
SUBJ-ID-154_210507_concat_cluster1051,none,broad
SUBJ-ID-154_210507_concat_cluster1160,increase,broad
SUBJ-ID-154_210507_concat_cluster1268,none,broad
SUBJ-ID-154_210507_concat_cluster1302,decrease,broad
SUBJ-ID-154_210507_concat_cluster1337,decrease,broad
SUBJ-ID-154_210507_concat_cluster1398,none,broad
SUBJ-ID-154_210507_concat_cluster1440,increase,broad
SUBJ-ID-154_210507_concat_cluster1444,decrease,broad
SUBJ-ID-154_210507_concat_cluster1445,none,broad
SUBJ-ID-154_210507_concat_cluster1446,decrease,broad
SUBJ-ID-154_210507_concat_cluster1448,decrease,broad
SUBJ-ID-154_210507_concat_cluster660,increase,broad
SUBJ-ID-154_210507_concat_cluster760,none,narrow
SUBJ-ID-154_210507_concat_cluster907,decrease,broad
SUBJ-ID-154_210509_concat_cluster1023,decrease,broad
SUBJ-ID-154_210509_concat_cluster1024,increase,broad
SUBJ-ID-154_210509_concat_cluster1025,decrease,broad
SUBJ-ID-154_210509_concat_cluster1486,none,broad
SUBJ-ID-154_210509_concat_cluster1487,increase,broad
SUBJ-ID-154_210509_concat_cluster1491,none,broad
SUBJ-ID-154_210509_concat_cluster1714,none,broad
SUBJ-ID-154_210509_concat_cluster1716,increase,broad
SUBJ-ID-154_210509_concat_cluster1717,none,broad
SUBJ-ID-154_210509_concat_cluster1718,increase,broad
SUBJ-ID-154_210509_concat_cluster614,none,narrow
SUBJ-ID-154_210510_concat_cluster1151,none,broad
SUBJ-ID-154_210510_concat_cluster1197,decrease,broad
SUBJ-ID-154_210510_concat_cluster1199,none,broad
SUBJ-ID-154_210510_concat_cluster1660,decrease,broad
SUBJ-ID-154_210510_concat_cluster1662,none,broad
SUBJ-ID-154_210510_concat_cluster1722,decrease,broad
SUBJ-ID-154_210510_concat_cluster1770,none,broad
