Unit,ActiveBaseline_modulation_direction,PTP_class
SUBJ-ID-390_220624_concat_cluster3147,decrease,narrow
SUBJ-ID-390_220624_concat_cluster5439,none,broad
SUBJ-ID-390_220624_concat_cluster5443,decrease,broad
SUBJ-ID-390_220624_concat_cluster5444,increase,broad
SUBJ-ID-390_220624_concat_cluster5446,none,broad
SUBJ-ID-390_220626_concat_cluster5110,decrease,narrow
SUBJ-ID-390_220626_concat_cluster5171,decrease,broad
SUBJ-ID-390_220626_concat_cluster5481,decrease,broad
SUBJ-ID-390_220626_concat_cluster5483,decrease,broad
SUBJ-ID-390_220626_concat_cluster5506,increase,broad
SUBJ-ID-390_220626_concat_cluster5594,decrease,broad
SUBJ-ID-390_220626_concat_cluster5985,none,broad
SUBJ-ID-390_220626_concat_cluster5986,none,broad
SUBJ-ID-390_220626_concat_cluster5987,increase,broad
SUBJ-ID-390_220626_concat_cluster5995,increase,broad
SUBJ-ID-390_220627_concat_cluster3381,decrease,narrow
SUBJ-ID-390_220627_concat_cluster4423,decrease,broad
SUBJ-ID-390_220627_concat_cluster4424,decrease,broad
SUBJ-ID-390_220627_concat_cluster4476,none,narrow
SUBJ-ID-390_220627_concat_cluster4891,none,broad
SUBJ-ID-390_220627_concat_cluster4931,none,broad
SUBJ-ID-390_220627_concat_cluster4932,none,broad
SUBJ-ID-390_220627_concat_cluster5075,none,broad
SUBJ-ID-390_220627_concat_cluster5235,none,broad
SUBJ-ID-390_220627_concat_cluster5236,none,broad
SUBJ-ID-390_220627_concat_cluster5268,none,broad
SUBJ-ID-390_220627_concat_cluster5372,decrease,broad
SUBJ-ID-390_220627_concat_cluster5546,none,broad
SUBJ-ID-390_220627_concat_cluster5844,decrease,broad
SUBJ-ID-390_220629_concat_cluster3759,decrease,narrow
SUBJ-ID-390_220629_concat_cluster6226,decrease,broad
SUBJ-ID-390_220629_concat_cluster6237,none,broad
SUBJ-ID-390_220629_concat_cluster6324,decrease,broad
SUBJ-ID-390_220629_concat_cluster6755,increase,broad
SUBJ-ID-390_220629_concat_cluster6756,none,broad
SUBJ-ID-390_220629_concat_cluster6757,increase,broad
SUBJ-ID-390_220629_concat_cluster6846,increase,broad
SUBJ-ID-390_220629_concat_cluster6888,none,broad
SUBJ-ID-390_220629_concat_cluster6893,none,broad
SUBJ-ID-390_220629_concat_cluster7177,decrease,broad
SUBJ-ID-390_220701_concat_cluster1373,increase,broad
SUBJ-ID-390_220701_concat_cluster1400,increase,narrow
SUBJ-ID-390_220701_concat_cluster1401,none,broad
SUBJ-ID-390_220701_concat_cluster2835,none,broad
SUBJ-ID-390_220701_concat_cluster2836,decrease,broad
SUBJ-ID-390_220701_concat_cluster3244,increase,broad
SUBJ-ID-390_220701_concat_cluster3253,increase,broad
SUBJ-ID-390_220701_concat_cluster3254,increase,broad
SUBJ-ID-390_220701_concat_cluster3391,increase,broad
SUBJ-ID-390_220701_concat_cluster3394,increase,broad
SUBJ-ID-390_220701_concat_cluster3492,none,broad
SUBJ-ID-390_220701_concat_cluster3494,none,broad
SUBJ-ID-390_220701_concat_cluster3496,decrease,broad
SUBJ-ID-390_220701_concat_cluster3743,decrease,broad
SUBJ-ID-390_220701_concat_cluster922,decrease,narrow
SUBJ-ID-390_220703_concat_cluster1337,increase,narrow
SUBJ-ID-390_220703_concat_cluster1791,decrease,broad
SUBJ-ID-390_220703_concat_cluster1802,increase,broad
SUBJ-ID-390_220703_concat_cluster2175,none,broad
SUBJ-ID-390_220703_concat_cluster2183,increase,broad
SUBJ-ID-390_220703_concat_cluster2184,none,broad
SUBJ-ID-390_220703_concat_cluster2303,increase,narrow
SUBJ-ID-390_220703_concat_cluster2308,decrease,broad
SUBJ-ID-390_220703_concat_cluster2313,increase,broad
SUBJ-ID-390_220703_concat_cluster3507,none,broad
SUBJ-ID-390_220703_concat_cluster3508,decrease,broad
SUBJ-ID-390_220705_concat_cluster2170,decrease,broad
SUBJ-ID-390_220705_concat_cluster2647,increase,broad
SUBJ-ID-390_220705_concat_cluster2650,increase,broad
SUBJ-ID-390_220705_concat_cluster2771,none,broad
SUBJ-ID-390_220705_concat_cluster2785,decrease,broad
SUBJ-ID-390_220705_concat_cluster2789,decrease,broad
SUBJ-ID-390_220705_concat_cluster3073,increase,broad
SUBJ-ID-390_220705_concat_cluster3736,none,broad
