Cluster,Best_channel,Shank,Cluster_quality,ISI_FPRate,ISI_ViolationRate,Fraction_missing,Presence_ratio
1513,23,2,good,0,0,0.011966612539715,0.95
1818,29,2,good,0.0542460080435721,0.045133142771175,0.010312833272033,0.95
1852,30,2,good,0.247320946686481,0.385480244137488,0.0261089728139235,0.95
1853,29,2,mua,0.444806014759809,0.558380695981653,0.0886617201806154,0.95
1854,23,2,good,0.309554004860235,0.746965452847806,0.0255650358803003,0.95
1855,3,3,good,0.0378406108575862,0.0533096401599289,0.5,0.96
1858,3,3,good,0.075978947368421,0.092516447368421,0.0386195222872618,0.95
1869,4,3,good,0.30336285071023,0.230566534914361,0.0173840134091373,0.96
1944,11,3,good,0.0996235984144765,0.169354244900965,0.0130325179401501,0.95
1956,12,3,good,0.0189615863696272,0.0154059466954244,0.00650527473666926,0.95
2306,15,3,good,0.247150192647831,0.184470903907429,0.0467785762916131,0.95
2309,14,3,mua,0.385980859957819,0.155424308361828,0.109331323658305,0.95
2311,38,4,good,0,0,0.0239112566126183,0.92
2348,42,4,good,0.245337916219119,0.522791353383459,0.0119666125397149,0.95
