Cluster,Best_channel,Shank,Cluster_quality,ISI_FPRate,ISI_ViolationRate,Fraction_missing,Presence_ratio
2726,49,1,good,0.130009940029052,0.127567291746396,0.017405981875949,0.95
2747,56,1,good,0.389659304024273,0.220848056537102,0.0130544864069617,0.94
3069,23,2,good,0.0956125338756526,0.213255513777429,0.020125666544066,0.95
3071,27,2,good,0.04124242351782,0.0879971840901091,0.0103348017388447,0.95
3084,21,2,good,0.16068076050339,0.521074571560908,0.0261089728139236,0.95
3397,18,2,good,0.116213927458053,0.247175141242938,0.0429490492894375,0.95
3873,4,3,good,0.284457043353286,1.41835069662357,0.0435149546898726,0.95
3877,5,3,good,0.231765143824945,1.1946967121558,0.0418831438890024,0.95
4325,3,3,good,0.0516999521381858,0.113765642775882,0.00489543240261065,0.95
4326,10,3,good,0.0151964239768664,0.0661432720789118,0.0967988057181544,0.95
4539,34,4,good,0.229917866909882,0.557505678298575,0.0304604682829108,0.95
4544,38,4,good,0.0507916670417663,0.0504286434694907,0.0119446440729033,0.95
4549,43,4,good,0.27974938135425,0.727150149282481,0.0195817296104427,0.95
4550,47,4,good,0.0445930752320169,0.208656572682039,0.011966612539715,0.95
4555,45,4,good,0,0,0.00761511707072768,0.95
