Cluster,Best_channel,Shank,Cluster_quality,ISI_FPRate,ISI_ViolationRate,Fraction_missing,Presence_ratio
614,45,4,good,0.079966280750309,0.670862659210275,0.00813708553753943,0.89
1023,17,2,good,0.444835259479409,0.9321528900996,0.0173840134091374,0.89
1024,17,2,good,0.361665210040702,0.968869652072582,0.0299165313492876,0.89
1025,4,3,good,0.0926995897879757,0.162659482539521,0.00543936933623403,0.89
1486,13,3,mua,0.473880549602058,0.69414845034403,0.0658163689684326,0.89
1487,5,3,mua,0.295985950721744,0.633465305271932,0.053305819495094,0.89
1491,9,3,good,0.545285940211077,0.69038393800634,0.00815905400435101,0.89
1714,38,4,mua,0.437647604409568,0.922477995937712,0.0772390445745237,0.89
1716,42,4,good,0.336088892941779,0.750708780896857,0.0195817296104426,0.89
1717,41,4,good,0.523443938060818,1.02264426588751,0.0331581844842161,0.89
1718,46,4,good,0.409647758150319,0.737842923640685,0.00920299093797452,0.89
