Cluster,Best_channel,Shank,Cluster_quality,ISI_FPRate,ISI_ViolationRate,Fraction_missing,Presence_ratio
1151,21,2,good,0.152955375828926,0.141643059490085,0.0179279503427609,0.92
1197,30,2,good,0.206554150035626,0.16460002194667,0.013598423340585,0.92
1199,17,2,good,0.148999981371836,0.633484162895928,0.0135764548737735,0.92
1660,4,3,good,0.139486776482446,0.300434411919938,0.0059833062698575,0.92
1662,9,3,good,0.270965250878878,0.561370926895154,0.0163181080087024,0.92
1722,43,4,good,0.268899067909103,0.187805183423062,0.0141423602742086,0.92
1770,47,4,good,0.130557317070519,0.351139577982248,0.00596133780304579,0.92
1773,46,4,good,0.124898821901683,0.0572409845449342,0.00378559006855218,0.92
1774,38,4,good,0.128344344345962,0.0670016750418761,0.0260870043471119,0.92
1778,45,4,good,0.0426804313182978,0.551180569192121,0.0146643287410202,0.92
