Cluster,Best_channel,Shank,Cluster_quality,ISI_FPRate,ISI_ViolationRate,Fraction_missing,Presence_ratio
2922,62,1,good,0.0156634222842818,0.0413322770640306,0.00271968466811702,0.98
2942,48,1,good,0.058636977980253,0.234293253264183,0.0125105494733383,0.98
2946,51,1,good,0,0,0.00489543240261068,0.82
2957,49,1,good,0.194459756593201,0.928710082594298,0.0103348017388447,0.98
2959,51,1,good,0.143157562356616,1.26095076926252,0.0717996752382895,0.98
2961,52,1,good,0.191150431117793,0.195503421309873,0.0380536168868267,0.98
3859,32,2,good,0.0786305329860214,0.080199607913028,0.0369877114863919,0.98
3860,30,2,good,0.107993129080619,0.0443066016836509,0.00924692787159801,0.98
3861,32,2,good,0.186105914771952,0.217627856365615,0.00815905400435115,0.98
3863,30,2,good,0.0658223857517359,0.0647129518350744,0.0223014142785597,0.98
3872,32,2,mua,0.248890427685146,0.503348164127455,0.0652724320348092,0.98
3873,20,2,good,0.0102550415756952,0.0193087468623286,0.0130544864069618,0.98
3881,24,2,mua,0.127635762513931,0.512030449952422,0.0353339322187098,0.98
3882,17,2,good,0.134161038807512,0.256605208135335,0.0223014142785597,0.98
3883,23,2,good,0.159017953240615,0.522648083623693,0.0462126708911776,0.98
3885,27,2,good,0.35531087708664,0.548025928108427,0.0103348017388447,0.98
3886,1,3,good,0.0183427215142476,0.0288716941910151,0.022279445811748,0.98
4749,15,3,good,0.0931353896644896,0.209804317127295,0.0168620449423255,0.98
4769,14,3,good,0.212947515823678,0.271196117613474,0.0103128332720331,0.98
4770,14,3,good,0.0191206126390409,0.132485079031941,0.0446028285571193,0.98
5224,12,3,good,0.313243323727067,0.679131382577346,0.0271748782143586,0.98
5226,3,3,good,0.210632524930124,0.388894358570444,0.0375096799532034,0.98
5250,38,4,good,0.151671285680226,0.317225795237268,0.00761511707072766,0.98
5299,45,4,good,0.0878969047035481,0.0282645562464669,0.0407952700217555,0.98
5300,34,4,good,0.260751587393093,0.0688468158347676,0.199080917706167,0.94
5326,41,4,good,0.583103956130691,0.753043845450067,0.00761511707072769,0.98
5328,43,4,good,0.205077520609593,1.50735748732534,0.00979086480522132,0.98
