Cluster,Best_channel,Shank,Cluster_quality,ISI_FPRate,ISI_ViolationRate,Fraction_missing,Presence_ratio
3927,62,1,mua,0.442027723978453,1.31501006989693,0.0924692787159791,0.88
4281,24,2,good,0.258199261695331,0.667756881984192,0.0456907024243661,0.88
4292,18,2,mua,0.410615648282667,3.25103124907262,0.0750632968400304,0.88
4294,2,3,mua,0.168070851957681,0.172097292335934,0.125083526266572,0.88
4764,8,3,good,0.173606298537836,0.733781755517261,0.0674481797693025,0.88
4778,38,4,good,0.145662070503694,0.154781647318961,0.0239112566126183,0.88
4869,47,4,good,0.22541967078489,0.16273393002441,0.0391414907540736,0.88
5002,41,4,good,0.658075096837992,1.11219240928681,0.0413392069553789,0.88
5003,45,4,good,0.292941257751928,0.310421286031042,0.00761511707072765,0.88
5005,43,4,good,0.410171982337654,0.485918286394288,0.00598330626985748,0.88
5008,47,4,good,0.248876100890969,0.286123032904149,0.00108787386724684,0.88
5236,43,4,mua,0.304112215267501,0.746554364471669,0.0690580221033611,0.88
5392,46,4,good,0.1286352859951,0.55113792157938,0.0184938557431959,0.88
