Cluster,Best_channel,Shank,Cluster_quality,ISI_FPRate,ISI_ViolationRate,Fraction_missing,Presence_ratio
2627,47,4,good,0.0382966886476502,0.0928643066750864,0.0652724320348089,0.89
2634,57,6,good,0.717747383520553,0.179791441927364,0.0326142475505927,0.89
2672,49,1,mua,0.207314672976052,0.183336728457934,0.260001854271989,0.89
3036,20,2,good,0.134529870205293,0.243671987667214,0.065272432034809,0.89
3037,30,2,good,0.322888183933189,1.2058944118853,0.0973427426517784,0.89
3351,24,2,good,0.270006843165978,0.197262976205153,0.0304604682829108,0.89
3789,5,3,good,0.0137765711983947,0.0111395789239167,0.00870299093797456,0.88
3812,42,4,good,0.408690720805462,0.383729854182655,0.0440369231566843,0.89
3844,45,4,good,0.422002855501783,0.404287326062429,0.0124885810065266,0.89
3848,38,4,mua,0.48113413156809,0.431683565907037,0.107699512857435,0.89
3864,41,4,good,0.255566438368181,0.291844139454173,0.00598330626985749,0.89
3865,44,4,mua,0.423325959421105,0.795590702132758,0.0663383374352441,0.89
