Cluster,Best_channel,Shank,Cluster_quality,ISI_FPRate,ISI_ViolationRate,Fraction_missing,Presence_ratio
1227,21,2,good,1.41501608604658,0.26542800265428,0.0206476350108779,0.76
1278,30,2,good,0.254564281446273,0.112580917534478,0.0114226756060915,0.93
1304,30,2,good,0.209163388543672,0.417653659144745,0.00924692787159797,0.93
1307,17,2,good,0.103670211254811,0.403225806451613,0.00487346393579889,0.93
1422,17,2,good,0.342405428814833,1.62424560482813,0.0081370855375394,0.93
1452,3,3,mua,0.493028085672538,0.135685210312076,0.0163181080087022,0.93
1528,11,3,good,0.0753084294252114,0.164875774631872,0.0679701482361144,0.93
1529,11,3,good,0.114091273391716,0.0923076923076923,0.00108787386724675,0.93
1885,5,3,good,0.179437094611489,0.306278713629403,0.0043514954689873,0.93
1886,13,3,good,0.284890141880366,1.00176991150442,0.0228453512121828,0.93
1933,45,4,good,0.0264824281293469,0.192142734602848,0.00435149546898727,0.93
2036,41,4,good,0.0878311876703398,0.104558762024258,0.0195817296104427,0.93
2038,42,4,good,0.168876446359542,0.314318197017321,0.0103348017388448,0.93
2156,46,4,good,0.246648897457855,0.293193717277487,0.0124885810065266,0.93
2157,47,4,good,0.0915497677892133,0.150966183574879,0.00432952700217554,0.93
