Cluster,Best_channel,Shank,Cluster_quality,ISI_FPRate,ISI_ViolationRate,Fraction_missing,Presence_ratio
2313,62,1,good,0.410797020317768,0.259383582545011,0.0331581844842161,0.93
2408,30,2,good,0.0430437724266649,0.0610915014933478,0.00326362160174042,0.93
2659,30,2,good,0.16734572023501,0.326199772648643,0.0511081032937887,0.93
2661,21,2,good,0.0650724544259644,0.109138951117238,0.0244771620130533,0.93
2709,17,2,mua,0.402616375040027,4.17834796977405,0.0244551935462415,0.93
2783,11,3,good,0.0544079843799872,0.142977600175972,0.0146862972078319,0.93
2810,14,3,good,0,0,0.00924692787159806,0.93
3204,13,3,good,0.385765322871506,2.2964509394572,0.0298725944156639,0.93
3205,5,3,good,0.38186197958448,0.672682526661198,0.0288286574820407,0.93
3206,3,3,mua,0.387965973465095,0.941185814701561,0.0124885810065267,0.93
3430,41,4,good,0.257615414075868,0.99885702926999,0.053305819495094,0.93
3432,45,4,good,0.0165791593509883,0.140164550903663,0.00435149546898721,0.93
3433,46,4,good,0.341764806923655,1.59225790442317,0.0266529097475469,0.93
3434,42,4,good,0.393116368075975,0.850514316248831,0.0266309412807353,0.93
