Cluster,Best_channel,Shank,Cluster_quality,ISI_FPRate,ISI_ViolationRate,Fraction_missing,Presence_ratio
1779,45,4,good,0.0297596875193705,0.26550756910691,0.00541740086942246,0.94
1967,62,1,mua,0.597241894469747,0.6797583081571,0.105523765122941,0.94
1976,18,2,good,0.0901729339781618,0.318798292537959,0.00435149546898728,0.94
2307,30,2,mua,0.800649497494487,1.15354017501989,0.0380536168868269,0.94
2308,30,2,good,0.0505554261614607,0.0728814682303054,0.00324165313492876,0.94
2311,22,2,mua,0.443171704866375,1.51468574462734,0.0805026661762642,0.94
2312,17,2,good,0.436396128118785,2.11680844360428,0.00976889633840965,0.94
2784,14,3,good,0.0173682147832995,0.0128799587841319,0.217008868048928,0.94
2796,5,3,mua,0.875933224207162,0.792141951837769,0.0516520402274122,0.94
2799,5,3,good,0.0591254926339834,0.0475285171102662,0.0206696034776895,0.94
2802,11,3,good,0.101630226147989,0.269822996114549,0.0984525849858368,0.94
2804,3,3,mua,0.663127877596145,1.57169339888772,0.0135984233405853,0.94
2807,4,3,good,0.0953849775890932,0.286350620426344,0.00815905400435109,0.94
2869,4,3,mua,0.411609111131993,1.1459155316156,0.0435149546898724,0.94
2945,46,4,good,0.12573465246843,0.0600240096038415,0.00979086480522141,0.94
2954,38,4,good,0.170520240390943,0.39747582363547,0.032092279083781,0.94
2955,47,4,good,0.287652482096902,0.777467576068134,0.0244551935462416,0.94
2977,45,4,good,0.155801383200457,0.16366612111293,0.0174059818759491,0.94
2979,36,4,good,0,0,0.0038075585353638,0.94
3016,42,4,good,0.287754998767197,0.196160851898557,0.00271968466811703,0.94
3031,43,4,good,0.3043877888798,0.235032162295893,0.0190377926768194,0.94
3032,42,4,good,0.269731491891332,0.358911779484603,0.0766731391740889,0.94
