Cluster,Best_channel,Shank,Cluster_quality,PTP_duration_ms,PTP_ratio,Repolarization_duration_ms
1227,21,2,good,0.659456,5.57593327722345,0.434176
1278,30,2,good,0.339968,5.18573906801442,0.139264
1304,30,2,good,0.667648,6.75130859428668,0.311296
1307,17,2,good,0.671744,6.58410412856325,0.274432
1422,17,2,good,0.6144,6.2919499095091,0.282624
1452,3,3,mua,0.479232,5.52678376756758,0.270336
1528,11,3,good,0.8192,6.14494154126062,0.335872
1529,11,3,good,0.671744,8.39059662263409,0.3072
1885,5,3,good,0.708608,6.9197545888156,0.270336
1886,13,3,good,0.663552,7.04155395939268,0.335872
1933,45,4,good,0.331776,4.54669612973986,0.167936
2036,41,4,good,0.638976,5.03429491679979,0.282624
2038,42,4,good,0.59392,5.6865253860434,0.303104
2156,46,4,good,0.643072,6.26912841560156,0.274432
2157,47,4,good,0.667648,7.30361932004369,0.274432
