Cluster,Best_channel,Shank,Cluster_quality,PTP_duration_ms,PTP_ratio,Repolarization_duration_ms
1779,45,4,good,0.270336,4.27621403546198,0.200704
1967,62,1,mua,0.708608,4.82762443848807,0.4096
1976,18,2,good,0.67584,7.74370000425347,0.26624
2307,30,2,mua,0.73728,7.18002045812219,0.458752
2308,30,2,good,0.671744,9.04335007692465,0.294912
2311,22,2,mua,0.720896,5.72664784456631,0.339968
2312,17,2,good,0.626688,6.53579983295732,0.26624
2784,14,3,good,0.667648,7.73157467591818,0.249856
2796,5,3,mua,0.724992,6.42120161836039,0.512
2799,5,3,good,0.7168,8.5764741127249,0.303104
2802,11,3,good,0.94208,8.2106615828125,0.32768
2804,3,3,mua,0.55296,10.714533410494,0.024576
2807,4,3,good,0.745472,9.29521510639383,0.26624
2869,4,3,mua,0.704512,5.07733354108245,0.3072
2945,46,4,good,0.626688,6.14448923124698,0.270336
2954,38,4,good,0.679936,5.12595046975016,0.495616
2955,47,4,good,0.720896,8.45620212975168,0.319488
2977,45,4,good,0.671744,5.93906525781234,0.43008
2979,36,4,good,0.647168,6.32658217198139,0.241664
3016,42,4,good,0.65536,8.74394582921373,0.262144
3031,43,4,good,0.688128,4.76595168015138,0.274432
3032,42,4,good,0.8192,6.59993551141399,0.43008
