Cluster,Best_channel,Shank,Cluster_quality,PTP_duration_ms,PTP_ratio,Repolarization_duration_ms
614,45,4,good,0.262144,4.01524824876014,0.2048
1023,17,2,good,0.663552,6.7083922697854,0.294912
1024,17,2,good,0.63488,4.80908495847077,0.233472
1025,4,3,good,0.749568,7.06717713733069,0.28672
1486,13,3,mua,0.65536,5.38875080920581,0.503808
1487,5,3,mua,0.663552,6.20372620232914,0.462848
1491,9,3,good,0.7168,9.09375069624871,0.282624
1714,38,4,mua,0.712704,4.90743483006965,0.544768
1716,42,4,good,0.745472,8.94453482632946,0.401408
1717,41,4,good,0.692224,8.04795312809444,0.299008
1718,46,4,good,0.700416,5.9656144877397,0.303104
