Cluster,Best_channel,Shank,Cluster_quality,PTP_duration_ms,PTP_ratio,Repolarization_duration_ms
660,24,2,good,0.708608,6.51348928209555,0.352256
760,45,4,good,0.212992,3.62249950071508,0.233472
907,56,1,mua,0.569344,4.42876067810962,0.258048
1030,17,2,good,0.651264,6.85687979829359,0.282624
1034,26,2,good,0.708608,6.7086000456359,0.352256
1051,30,2,good,0.630784,5.82584742810493,0.24576
1160,17,2,good,0.6144,5.24168633466686,0.282624
1268,22,2,good,0.67584,5.60158169423148,0.475136
1302,8,3,good,0.643072,4.98125373071277,0.249856
1337,4,3,mua,0.745472,7.02989222039436,0.49152
1398,44,4,good,0.712704,5.70801254328978,0.278528
1440,46,4,good,0.712704,5.03445806333762,0.356352
1444,46,4,good,0.67584,6.53538867825608,0.360448
1445,42,4,good,0.704512,7.96438569228135,0.47104
1446,41,4,good,0.69632,6.25970440119234,0.32768
1448,38,4,good,0.700416,6.71928954771457,0.49152
