Cluster,Best_channel,Shank,Cluster_quality,PTP_duration_ms,PTP_ratio,Repolarization_duration_ms
2313,62,1,good,0.651264,5.86154015610856,0.270336
2408,30,2,good,0.638976,9.02334669231911,0.303104
2659,30,2,good,0.671744,4.30527355291563,0.290816
2661,21,2,good,0.704512,5.70116152674088,0.331776
2709,17,2,mua,0.622592,6.21507263516259,0.249856
2783,11,3,good,0.77824,8.06218709572051,0.258048
2810,14,3,good,0.638976,5.62926407356673,0.26624
3204,13,3,good,0.671744,6.15892507368098,0.34816
3205,5,3,good,0.679936,6.77113931529005,0.274432
3206,3,3,mua,0.479232,7.03484353212246,0.331776
3430,41,4,good,0.638976,5.13635632720037,0.397312
3432,45,4,good,0.3072,3.8750697397898,0.180224
3433,46,4,good,0.684032,6.26080191712579,0.28672
3434,42,4,good,0.679936,5.77262478471331,0.299008
