Cluster,Best_channel,Shank,Cluster_quality,PTP_duration_ms,PTP_ratio,Repolarization_duration_ms
1151,21,2,good,0.724992,5.97606167323933,0.4096
1197,30,2,good,0.761856,8.22022336069472,0.49152
1199,17,2,good,0.704512,6.94647219246658,0.446464
1660,4,3,good,0.704512,7.98892230023176,0.311296
1662,9,3,good,0.720896,8.62442706199679,0.311296
1722,43,4,good,0.729088,5.640400415942,0.311296
1770,47,4,good,0.704512,9.20120342607474,0.270336
1773,46,4,good,0.630784,5.99774950754598,0.26624
1774,38,4,good,0.720896,4.71913013028996,0.47104
1778,45,4,good,0.274432,4.44294433472275,0.200704
