Cluster,Best_channel,Shank,Cluster_quality,PTP_duration_ms,PTP_ratio,Repolarization_duration_ms
1513,23,2,good,0.3072,3.89827249474869,0.172032
1818,29,2,good,0.540672,3.3476036775117,0.258048
1852,30,2,good,0.671744,5.6460051085082,0.34816
1853,29,2,mua,0.684032,4.69925737566445,0.335872
1854,23,2,good,0.659456,4.63297843062148,0.270336
1855,3,3,good,0.724992,4.7624612446981,0.26624
1858,3,3,good,0.712704,4.92507919211268,0.299008
1869,4,3,good,0.749568,6.33988618234339,0.278528
1944,11,3,good,0.622592,5.06143442224727,0.352256
1956,12,3,good,0.815104,12.5211772223318,0.315392
2306,15,3,good,0.663552,5.42849289613591,0.294912
2309,14,3,mua,0.741376,6.12652573353703,0.344064
2311,38,4,good,0.884736,6.90444089646254,0.331776
2348,42,4,good,0.688128,5.48823416142624,0.344064
