Cluster,Best_channel,Shank,Cluster_quality,PTP_duration_ms,PTP_ratio,Repolarization_duration_ms
2922,62,1,good,0.57344,6.01580888720846,0.258048
2942,48,1,good,0.217088,4.55760498754753,0.229376
2946,51,1,good,0.565248,5.0686103889905,0.24576
2957,49,1,good,0.589824,5.46218371348148,0.258048
2959,51,1,good,0.786432,8.64343817713735,0.380928
2961,52,1,good,0.708608,5.28847198628919,0.360448
3859,32,2,good,0.835584,5.31426443075127,0.274432
3860,30,2,good,0.208896,3.29079326165245,0.237568
3861,32,2,good,0.569344,12.0529552607953,0.008192
3863,30,2,good,0.536576,3.01322946806835,0.253952
3872,32,2,mua,0.65536,5.73485690570754,0.323584
3873,20,2,good,0.540672,3.70983001788684,0.229376
3881,24,2,mua,0.651264,4.93330954931543,0.376832
3882,17,2,good,0.602112,5.31489012544295,0.24576
3883,23,2,good,0.544768,5.29299381478149,0.258048
3885,27,2,good,0.565248,5.53505800120197,0.262144
3886,1,3,good,0.651264,5.52950353947122,0.262144
4749,15,3,good,0.643072,11.1531285497244,0.38912
4769,14,3,good,0.524288,6.08717863824734,0.258048
4770,14,3,good,0.155648,1.94381955742409,0.270336
5224,12,3,good,0.581632,6.06733080454519,0.311296
5226,3,3,good,0.643072,5.08300800969562,0.364544
5250,38,4,good,0.720896,5.62791544505163,0.28672
5299,45,4,good,0.663552,5.59889540057662,0.331776
5300,34,4,good,0.692224,3.90774709669075,0.397312
5326,41,4,good,0.671744,5.72476217026988,0.28672
5328,43,4,good,0.663552,5.35687398941202,0.278528
