Cluster,Best_channel,Shank,Cluster_quality,PTP_duration_ms,PTP_ratio,Repolarization_duration_ms
2726,49,1,good,0.712704,4.66593481128621,0.282624
2747,56,1,good,0.55296,4.08152858343058,0.294912
3069,23,2,good,0.63488,5.37937825631346,0.3072
3071,27,2,good,0.684032,8.77011597189578,0.28672
3084,21,2,good,0.688128,6.38812163380389,0.372736
3397,18,2,good,0.63488,4.002028007574,0.262144
3873,4,3,good,0.643072,4.54927488435659,0.253952
3877,5,3,good,0.679936,5.51023651660004,0.364544
4325,3,3,good,0.684032,6.64794746541912,0.253952
4326,10,3,good,0.7168,5.50095840150741,0.3072
4539,34,4,good,0.671744,4.71719996668503,0.393216
4544,38,4,good,0.753664,6.76765806044261,0.34816
4549,43,4,good,0.659456,5.42704571294034,0.303104
4550,47,4,good,0.659456,6.21302704970075,0.278528
4555,45,4,good,0.663552,6.97088155929705,0.303104
