Cluster,Best_channel,Shank,Cluster_quality,PTP_duration_ms,PTP_ratio,Repolarization_duration_ms
3927,62,1,mua,0.663552,6.0511172317494,0.503808
4281,24,2,good,0.69632,6.44205089026223,0.335872
4292,18,2,mua,0.638976,6.47824907102937,0.458752
4294,2,3,mua,0.794624,5.95439796850213,0.47104
4764,8,3,good,0.802816,6.03126676896208,0.401408
4778,38,4,good,0.712704,5.08132347324969,0.339968
4869,47,4,good,0.67584,4.81157791425992,0.249856
5002,41,4,good,0.69632,5.11738943792488,0.22528
5003,45,4,good,0.67584,5.87595371497458,0.24576
5005,43,4,good,0.67584,8.19590639881345,0.253952
5008,47,4,good,0.659456,6.4347402982493,0.270336
5236,43,4,mua,0.782336,5.28458815455075,0.397312
5392,46,4,good,0.217088,3.16030006099001,0.233472
