Block_id,Threshold
210501-112041,-10.1881056772659
210503-115400,-11.729263706909
210504-191859,-13.5681181586451
210507-143909,-13.7293904260094
210509-151848,-15.4720834194689
210510-113701,-15.0763165269534
210511-133141,-17.5928401479042
210512-154920,-15.6915073020151
210513-160446,-14.8723087395701
210514-145603,-16.437993755617
210516-173352,-17.1279230241922
210519-104804,-11.4108686778087
210520-095106,-1.96505946585702
