Stimulus,d_prime,Block_id
-12.0411998265592,0.418790335847634,210501-112041
-9.11863926091431,1.35721453763248,210501-112041
-6.02059991327962,2.40414035848137,210501-112041
-2.97483328812409,2.40414035848137,210501-112041
-0.0872961080490018,2.27307068547468,210501-112041
-14.8945495527876,-0.0362009443999869,210503-115400
-12.0411998265592,1.08425216984345,210503-115400
-9.11863926091431,1.60865268255149,210503-115400
-6.02059991327962,2.28314243274757,210503-115400
-2.97483328812409,2.64508607204528,210503-115400
-18.4163752731923,0.363302061406872,210504-191859
-14.8945495527876,0.803232393378559,210504-191859
-12.0411998265592,1.39150652381567,210504-191859
-9.11863926091431,1.5191922800964,210504-191859
-6.02059991327962,2.92640519249607,210504-191859
-18.4163752731923,-0.0542647424926757,210507-143909
-14.8945495527876,0.748967650885883,210507-143909
-12.0411998265592,1.5905888844588,210507-143909
-9.11863926091431,2.8721404500034,210507-143909
-6.02059991327962,3.23544251141027,210507-143909
-18.4163752731923,0.255207456637815,210509-151848
-14.8945495527876,1.41109767532734,210509-151848
-12.0411998265592,1.53675902218242,210509-151848
-9.11863926091431,2.37838025575533,210509-151848
-6.02059991327962,2.81831058772702,210509-151848
-21.9382004543059,0.29783473062491,210510-113701
-18.4163752731923,0.510491539447704,210510-113701
-14.8945495527876,1.18498128964379,210510-113701
-12.0411998265592,1.11119001583551,210510-113701
-9.11863926091431,2.74970776100558,210510-113701
-21.9382004543059,0.729144443371436,210511-133141
-18.4163752731923,0.879233680859477,210511-133141
-14.8945495527876,1.15028709043172,210511-133141
-12.0411998265592,1.92803470627556,210511-133141
-9.11863926091431,2.44006758306131,210511-133141
-21.9382004543059,0.473773798345052,210512-154920
-18.4163752731923,0.681151006009979,210512-154920
-14.8945495527876,0.681151006009979,210512-154920
-12.0411998265592,1.94406837512141,210512-154920
-9.11863926091431,2.37009485609402,210512-154920
-18.4163752731923,0.363302061406872,210513-160446
-14.8945495527876,1.12045311424343,210513-160446
-12.0411998265592,1.5191922800964,210513-160446
-9.11863926091431,2.16925413965951,210513-160446
-6.02059991327962,2.92640519249607,210513-160446
-21.9382004543059,0.622274254457705,210514-145603
-18.4163752731923,0.182343922486019,210514-145603
-14.8945495527876,1.46389548803062,210514-145603
-12.0411998265592,2.30551672160353,210514-145603
-9.11863926091431,3.10874911498209,210514-145603
-21.9382004543059,0,210516-173352
-18.4163752731923,0.853215019208098,210516-173352
-14.8945495527876,1.46484125715877,210516-173352
-12.0411998265592,2.07558092624693,210516-173352
-9.11863926091431,2.75562524358826,210516-173352
-6.02059991327962,2.75562524358826,210516-173352
-21.9382004543059,0.0856510934335568,210519-104804
-18.4163752731923,0.0856510934335568,210519-104804
-14.8945495527876,0.487123837602395,210519-104804
-12.0411998265592,0.873060289742553,210519-104804
-9.11863926091431,1.61902148146812,210519-104804
-14.8945495527876,0,210520-095106
-12.0411998265592,0,210520-095106
-9.11863926091431,0,210520-095106
-6.02059991327962,0.363302061406872,210520-095106
-2.97483328812409,0.803232393378559,210520-095106
